age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
29,NA,NA,socially,never,graduated from college/university,white,73,-1,other,doesn&rsquo;t have kids,straight,likes dogs and has cats,agnosticism and laughing about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single
35,jacked,mostly vegetarian,socially,NA,graduated from college/university,"middle eastern, white",70,-1,other,NA,straight,likes dogs and likes cats,other and laughing about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single
28,fit,mostly anything,socially,never,working on ph.d program,hispanic / latin,73,-1,student,doesn&rsquo;t have kids,straight,likes dogs,agnosticism but not too serious about it,m,libra but it doesn&rsquo;t matter,no,english,single
36,average,mostly anything,NA,never,graduated from college/university,NA,68,250000,executive / management,doesn&rsquo;t have kids,straight,has dogs,judaism,m,libra,NA,"english, hebrew (okay), spanish (okay)",single
23,average,strictly anything,socially,NA,graduated from two-year college,white,66,-1,other,NA,straight,likes dogs and likes cats,NA,m,aquarius and it&rsquo;s fun to think about,sometimes,"english, french (poorly), spanish (okay), chinese (poorly)",single
25,athletic,mostly vegetarian,often,NA,graduated from college/university,white,72,-1,education / academia,NA,straight,likes dogs,agnosticism,f,NA,no,english,single
27,athletic,mostly anything,socially,never,graduated from ph.d program,asian,67,-1,medicine / health,NA,straight,NA,catholicism and somewhat serious about it,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), vietnamese (okay)",single
37,average,mostly anything,not at all,never,working on college/university,white,72,50000,other,NA,straight,likes dogs and likes cats,christianity and somewhat serious about it,f,aries and it&rsquo;s fun to think about,no,english,single
34,average,NA,not at all,never,graduated from masters program,asian,65,-1,science / tech / engineering,NA,straight,NA,NA,m,NA,no,english (fluently),single
27,a little extra,NA,socially,NA,working on college/university,other,60,-1,other,NA,straight,NA,christianity and very serious about it,f,libra and it&rsquo;s fun to think about,no,english,single
24,fit,mostly anything,socially,never,graduated from college/university,white,67,-1,banking / financial / real estate,NA,straight,likes dogs,agnosticism,m,taurus,no,"english (fluently), russian (fluently), italian (fluently)",single
24,skinny,NA,rarely,never,graduated from college/university,white,67,-1,student,NA,bisexual,NA,buddhism,f,sagittarius,no,"english, french, c++",single
29,average,anything,socially,never,graduated from college/university,white,74,100000,science / tech / engineering,NA,straight,likes dogs and likes cats,NA,m,pisces,no,english,single
57,athletic,strictly vegan,socially,never,two-year college,white,68,70000,executive / management,NA,straight,NA,other,m,leo,no,english,single
36,athletic,NA,socially,never,graduated from masters program,indian,61,-1,banking / financial / real estate,NA,straight,NA,NA,f,gemini and it&rsquo;s fun to think about,no,english (fluently),single
49,average,anything,socially,NA,graduated from masters program,asian,70,-1,executive / management,NA,straight,has dogs,NA,m,capricorn and it&rsquo;s fun to think about,no,english (fluently),single
33,athletic,mostly anything,socially,NA,working on masters program,white,70,-1,artistic / musical / writer,NA,bisexual,likes dogs and likes cats,agnosticism,m,aquarius and it&rsquo;s fun to think about,when drinking,english,single
26,athletic,NA,socially,never,graduated from masters program,"white, other",68,-1,other,NA,straight,NA,christianity,f,sagittarius,no,"english (fluently), spanish (fluently), portuguese (okay), sign language (poorly)",single
52,full figured,mostly anything,rarely,never,working on masters program,white,62,-1,education / academia,NA,straight,likes dogs and likes cats,judaism and laughing about it,f,scorpio and it&rsquo;s fun to think about,no,english (fluently),single
23,NA,NA,rarely,NA,working on college/university,white,74,-1,student,NA,straight,has dogs and likes cats,other but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
59,curvy,strictly anything,often,never,graduated from two-year college,white,66,-1,banking / financial / real estate,NA,straight,likes dogs and has cats,agnosticism and laughing about it,f,libra but it doesn&rsquo;t matter,no,english (fluently),single
26,athletic,mostly other,socially,NA,graduated from college/university,white,72,-1,other,NA,straight,NA,other,m,gemini,when drinking,"english, spanish (okay), hindi (poorly), french (poorly), latin (poorly)",single
26,NA,mostly anything,socially,NA,graduated from college/university,asian,67,-1,computer / hardware / software,NA,straight,NA,NA,m,NA,NA,"english (fluently), chinese (fluently)",single
26,athletic,mostly vegetarian,socially,never,NA,white,67,-1,sales / marketing / biz dev,NA,straight,NA,NA,f,NA,no,english (fluently),single
25,skinny,strictly anything,socially,NA,graduated from college/university,white,70,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes cats,catholicism,m,gemini,no,english,single
31,fit,NA,often,NA,graduated from college/university,white,72,100000,science / tech / engineering,NA,straight,likes dogs,atheism and laughing about it,m,taurus and it&rsquo;s fun to think about,NA,"english, french (okay)",single
27,fit,strictly anything,socially,NA,graduated from college/university,white,67,-1,other,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,atheism and laughing about it,f,taurus but it doesn&rsquo;t matter,no,"english, french (okay)",single
40,athletic,NA,socially,never,graduated from masters program,"black, hispanic / latin",73,100000,executive / management,NA,gay,has dogs,other,m,pisces and it&rsquo;s fun to think about,no,english,single
37,curvy,strictly anything,socially,never,graduated from ph.d program,indian,62,-1,science / tech / engineering,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,NA,f,NA,no,english,single
38,fit,mostly anything,socially,never,graduated from college/university,white,68,-1,science / tech / engineering,NA,straight,NA,catholicism but not too serious about it,f,cancer and it&rsquo;s fun to think about,no,english,single
41,athletic,NA,socially,never,graduated from college/university,"middle eastern, white",67,-1,sales / marketing / biz dev,has kids,straight,NA,judaism but not too serious about it,f,libra but it doesn&rsquo;t matter,no,english,single
32,curvy,NA,often,never,graduated from college/university,white,66,-1,sales / marketing / biz dev,NA,straight,likes dogs,NA,f,libra but it doesn&rsquo;t matter,no,"english, spanish (okay)",single
39,average,NA,rarely,never,graduated from college/university,white,70,-1,artistic / musical / writer,NA,straight,likes dogs and likes cats,agnosticism,m,NA,no,"english (fluently), german (okay)",single
22,NA,NA,socially,sometimes,NA,NA,64,-1,NA,NA,gay,likes dogs and has cats,catholicism,f,sagittarius,when drinking,"english (fluently), spanish (okay)",available
43,fit,mostly anything,socially,never,graduated from two-year college,white,66,50000,artistic / musical / writer,doesn&rsquo;t want kids,straight,likes dogs and likes cats,judaism and laughing about it,m,pisces but it doesn&rsquo;t matter,no,english (fluently),single
25,skinny,NA,NA,NA,graduated from college/university,white,74,-1,education / academia,NA,gay,NA,NA,m,gemini and it&rsquo;s fun to think about,NA,english (fluently),seeing someone
36,fit,mostly anything,socially,never,graduated from college/university,white,67,-1,NA,has a kid,gay,NA,judaism,f,pisces,no,english,single
30,athletic,anything,socially,never,graduated from masters program,white,71,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,NA,agnosticism,m,libra,no,english,single
26,fit,NA,often,never,graduated from college/university,white,67,30000,other,NA,straight,NA,christianity but not too serious about it,m,NA,no,english,single
22,curvy,strictly anything,socially,NA,working on college/university,asian,67,-1,student,NA,straight,NA,NA,f,scorpio but it doesn&rsquo;t matter,trying to quit,english,single
24,curvy,NA,socially,sometimes,graduated from college/university,white,61,-1,entertainment / media,NA,bisexual,NA,other but not too serious about it,f,virgo and it&rsquo;s fun to think about,when drinking,"english (fluently), french (poorly)",available
45,average,mostly anything,socially,never,dropped out of ph.d program,white,76,100000,other,has a kid,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,NA,no,"english, russian (okay), ancient greek (okay), latin (poorly)",single
34,athletic,anything,socially,never,NA,white,72,-1,computer / hardware / software,NA,gay,likes dogs and has cats,atheism but not too serious about it,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), german (okay)",single
39,a little extra,strictly vegetarian,socially,never,graduated from college/university,hispanic / latin,67,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,has dogs and has cats,buddhism and somewhat serious about it,f,scorpio,no,"english, french (okay)",single
51,average,NA,socially,never,graduated from college/university,white,66,-1,other,doesn&rsquo;t have kids,straight,has cats,atheism,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",single
20,thin,NA,very often,NA,working on two-year college,white,72,-1,artistic / musical / writer,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,has dogs and has cats,atheism and laughing about it,m,taurus and it&rsquo;s fun to think about,yes,english,single
23,thin,strictly anything,socially,NA,working on masters program,white,70,-1,student,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",bisexual,likes dogs,christianity and laughing about it,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), french (okay), ancient greek (poorly), latin (poorly)",available
23,athletic,mostly anything,socially,sometimes,working on college/university,"asian, black, white",72,-1,computer / hardware / software,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,virgo but it doesn&rsquo;t matter,yes,english (fluently),single
36,skinny,NA,socially,never,graduated from college/university,NA,71,-1,computer / hardware / software,NA,straight,has cats,atheism and somewhat serious about it,m,gemini but it doesn&rsquo;t matter,no,english (fluently),available
32,thin,NA,NA,never,graduated from college/university,asian,68,-1,science / tech / engineering,NA,straight,NA,christianity,m,aquarius,NA,english,single
28,average,mostly anything,socially,never,graduated from law school,white,66,-1,other,NA,straight,NA,NA,m,NA,NA,"english, french (poorly)",single
35,athletic,NA,socially,NA,graduated from masters program,white,76,-1,science / tech / engineering,NA,straight,has dogs,other,m,cancer and it&rsquo;s fun to think about,NA,english,available
25,athletic,NA,socially,never,working on college/university,NA,74,20000,other,"doesn&rsquo;t have kids, but wants them",straight,has dogs,catholicism,m,gemini and it&rsquo;s fun to think about,no,english,single
42,overweight,mostly anything,socially,never,working on college/university,white,71,30000,artistic / musical / writer,NA,straight,likes dogs and has cats,christianity but not too serious about it,m,aquarius and it&rsquo;s fun to think about,no,english,married
57,curvy,anything,socially,never,graduated from college/university,NA,63,-1,law / legal services,has a kid,gay,has dogs and has cats,judaism but not too serious about it,f,scorpio but it doesn&rsquo;t matter,no,english,single
29,average,mostly anything,socially,NA,working on masters program,white,76,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,pisces and it&rsquo;s fun to think about,when drinking,english (fluently),single
39,athletic,NA,socially,NA,graduated from college/university,white,68,-1,science / tech / engineering,NA,straight,likes dogs and has cats,buddhism and somewhat serious about it,f,aries and it&rsquo;s fun to think about,no,english,single
24,NA,NA,NA,never,working on college/university,other,70,-1,NA,"doesn&rsquo;t have kids, but might want them",straight,NA,christianity,f,pisces,no,english,single
41,fit,mostly anything,often,sometimes,dropped out of college/university,white,70,-1,construction / craftsmanship,has a kid,straight,has dogs and has cats,atheism,m,pisces but it doesn&rsquo;t matter,sometimes,english,single
34,athletic,NA,socially,never,graduated from masters program,white,65,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,NA,other and laughing about it,f,aries and it&rsquo;s fun to think about,no,"english, french, spanish, german",single
24,NA,NA,socially,never,graduated from college/university,white,73,-1,science / tech / engineering,NA,straight,likes dogs and likes cats,NA,f,NA,no,english,single
25,average,mostly anything,socially,never,graduated from college/university,hispanic / latin,69,-1,law / legal services,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,catholicism but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), french (poorly)",single
26,athletic,mostly anything,socially,never,graduated from college/university,black,70,-1,sales / marketing / biz dev,NA,straight,likes dogs,NA,m,scorpio,no,english,single
32,average,strictly anything,socially,never,graduated from college/university,white,75,-1,artistic / musical / writer,NA,straight,likes dogs and likes cats,christianity but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,"english, spanish (okay)",single
22,curvy,mostly anything,socially,never,working on college/university,asian,65,20000,other,NA,straight,NA,christianity but not too serious about it,f,leo but it doesn&rsquo;t matter,when drinking,english,seeing someone
28,athletic,anything,socially,never,graduated from masters program,white,68,-1,education / academia,NA,straight,has dogs,NA,f,cancer,no,english,single
49,athletic,strictly vegetarian,rarely,never,graduated from masters program,white,70,-1,education / academia,NA,gay,likes dogs,other,m,NA,no,"english (fluently), italian (fluently), spanish (fluently), portuguese (okay), turkish (poorly)",single
44,average,strictly vegetarian,socially,NA,dropped out of masters program,white,73,-1,NA,NA,gay,likes dogs and has cats,NA,m,aries and it&rsquo;s fun to think about,no,english (okay),single
29,athletic,anything,socially,never,graduated from ph.d program,black,66,-1,science / tech / engineering,"doesn&rsquo;t have kids, but might want them",straight,has dogs,christianity,f,leo and it&rsquo;s fun to think about,no,english,single
31,fit,NA,socially,never,graduated from masters program,white,70,-1,science / tech / engineering,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,"english, arabic",single
30,fit,mostly anything,desperately,never,graduated from college/university,asian,69,100000,computer / hardware / software,doesn&rsquo;t have kids,straight,likes dogs and likes cats,NA,m,NA,no,"english, c++, vietnamese",single
35,thin,strictly anything,rarely,never,graduated from law school,asian,65,-1,law / legal services,"has a kid, and wants more",straight,likes dogs and likes cats,other,f,NA,no,"english (fluently), chinese (fluently)",single
40,average,NA,socially,never,graduated from college/university,asian,64,-1,sales / marketing / biz dev,doesn&rsquo;t have kids,straight,NA,other,f,capricorn,no,english,single
24,average,mostly anything,socially,never,graduated from college/university,white,63,-1,banking / financial / real estate,NA,straight,likes dogs and likes cats,NA,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
30,athletic,NA,socially,never,graduated from masters program,white,75,70000,science / tech / engineering,NA,straight,NA,NA,m,cancer and it&rsquo;s fun to think about,no,"english (fluently), japanese (fluently), french (okay), serbian (okay), latin (okay)",single
24,NA,NA,socially,never,graduated from high school,white,71,20000,sales / marketing / biz dev,doesn&rsquo;t want kids,straight,likes dogs and has cats,agnosticism and laughing about it,m,cancer and it&rsquo;s fun to think about,no,english,single
41,used up,NA,not at all,never,dropped out of college/university,white,72,20000,artistic / musical / writer,NA,straight,has dogs and dislikes cats,NA,m,pisces,no,"english (okay), italian (poorly)",single
27,NA,strictly anything,socially,never,graduated from masters program,white,65,-1,NA,doesn&rsquo;t have kids,straight,likes dogs,NA,f,gemini,no,english,single
28,curvy,NA,often,NA,graduated from college/university,white,68,-1,other,NA,straight,likes dogs and has cats,NA,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single
27,used up,NA,socially,NA,graduated from college/university,asian,70,150000,other,NA,straight,likes dogs and likes cats,other and laughing about it,m,cancer but it doesn&rsquo;t matter,NA,"english (fluently), chinese (fluently), french (poorly), spanish (poorly), c++ (okay)",seeing someone
31,a little extra,mostly anything,socially,never,graduated from high school,"asian, white",70,-1,computer / hardware / software,"has kids, and might want more",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,english (fluently),single
34,full figured,NA,socially,NA,graduated from masters program,white,66,-1,NA,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,NA,judaism,f,virgo and it&rsquo;s fun to think about,when drinking,english,seeing someone
23,average,anything,socially,never,graduated from college/university,white,74,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,NA,atheism but not too serious about it,m,leo but it doesn&rsquo;t matter,no,english,single
55,fit,NA,NA,NA,NA,NA,70,-1,NA,NA,straight,NA,NA,m,NA,no,"english, spanish, other",single
38,fit,NA,socially,never,graduated from college/university,hispanic / latin,69,-1,computer / hardware / software,doesn&rsquo;t have kids,gay,likes dogs and likes cats,agnosticism but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), italian (poorly)",single
34,athletic,NA,rarely,NA,graduated from college/university,"native american, hispanic / latin, white, other",68,-1,medicine / health,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,NA,m,libra and it&rsquo;s fun to think about,no,"english (fluently), portuguese (okay), tagalog (poorly)",available
44,average,mostly anything,rarely,never,graduated from college/university,"hispanic / latin, white",74,-1,NA,doesn&rsquo;t have kids,straight,NA,atheism,m,cancer,NA,"english (okay), spanish (fluently), portuguese (fluently), italian (poorly), c++ (okay)",single
29,average,NA,often,never,graduated from college/university,asian,64,-1,NA,NA,straight,NA,NA,f,NA,no,english,single
24,NA,NA,often,never,working on college/university,white,66,-1,student,NA,gay,NA,NA,m,aries,no,english,single
27,NA,NA,often,never,graduated from college/university,white,72,-1,other,NA,straight,likes dogs,christianity and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,english,single
22,fit,mostly anything,socially,NA,graduated from college/university,other,69,-1,clerical / administrative,NA,straight,likes dogs and likes cats,NA,f,capricorn but it doesn&rsquo;t matter,no,"english, spanish (okay)",single
24,average,mostly anything,not at all,never,graduated from college/university,white,73,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism and very serious about it,m,aquarius but it doesn&rsquo;t matter,no,english (fluently),single
43,athletic,mostly other,often,NA,graduated from college/university,white,68,-1,other,doesn&rsquo;t want kids,straight,likes dogs,other and somewhat serious about it,m,aries and it&rsquo;s fun to think about,no,english,single
28,curvy,mostly vegan,socially,never,NA,white,62,-1,other,doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), hindi (poorly), turkish (okay), spanish (okay), russian (poorly)",single
30,average,NA,socially,never,graduated from two-year college,white,70,-1,NA,NA,straight,likes dogs and likes cats,christianity but not too serious about it,m,libra but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (okay), tagalog (poorly)",single
58,fit,mostly anything,socially,never,NA,white,68,-1,NA,NA,straight,NA,NA,m,NA,yes,english,single
31,average,NA,socially,never,dropped out of college/university,white,71,-1,construction / craftsmanship,NA,straight,likes dogs,catholicism and laughing about it,m,scorpio but it doesn&rsquo;t matter,when drinking,english,single
47,athletic,NA,often,never,graduated from college/university,white,74,100000,computer / hardware / software,doesn&rsquo;t want kids,straight,likes dogs and has cats,atheism and somewhat serious about it,m,pisces but it doesn&rsquo;t matter,no,english (fluently),available
20,curvy,mostly anything,socially,sometimes,working on college/university,"asian, middle eastern, black, white, other",70,-1,student,doesn&rsquo;t have kids,straight,NA,NA,f,taurus and it&rsquo;s fun to think about,when drinking,english (fluently),single
29,NA,NA,socially,never,graduated from college/university,NA,68,70000,political / government,NA,bisexual,NA,atheism,f,NA,no,english,single
30,fit,NA,NA,never,NA,middle eastern,68,-1,NA,NA,straight,NA,NA,m,NA,NA,english,single
60,average,NA,socially,never,graduated from college/university,white,71,-1,computer / hardware / software,has a kid,straight,likes dogs and dislikes cats,other and very serious about it,m,sagittarius and it&rsquo;s fun to think about,sometimes,english,single
29,athletic,mostly anything,socially,never,working on ph.d program,asian,67,-1,student,NA,straight,likes dogs and likes cats,NA,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently), japanese (fluently), malay (okay), korean (poorly)",single
40,a little extra,NA,not at all,never,NA,white,66,-1,education / academia,NA,straight,has dogs and has cats,judaism,f,leo but it doesn&rsquo;t matter,no,"english (okay), hebrew (fluently)",single
27,average,NA,not at all,never,graduated from high school,white,64,20000,artistic / musical / writer,NA,straight,has dogs,atheism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,english,single
32,average,mostly anything,not at all,never,graduated from college/university,asian,64,20000,entertainment / media,"doesn&rsquo;t have kids, but might want them",straight,has dogs and dislikes cats,christianity but not too serious about it,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently), japanese (okay), korean (okay)",single
25,athletic,mostly anything,socially,never,graduated from masters program,asian,67,-1,banking / financial / real estate,doesn&rsquo;t have kids,straight,likes dogs,other and laughing about it,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), chinese (okay), spanish (poorly)",single
32,full figured,anything,socially,never,graduated from college/university,white,67,-1,other,NA,straight,NA,christianity and somewhat serious about it,f,capricorn and it&rsquo;s fun to think about,no,english,single
26,average,NA,socially,NA,graduated from masters program,"asian, white",64,-1,computer / hardware / software,NA,straight,NA,NA,f,NA,no,english (fluently),seeing someone
31,jacked,mostly anything,socially,never,graduated from college/university,white,65,-1,entertainment / media,NA,straight,likes dogs and has cats,NA,f,leo and it&rsquo;s fun to think about,NA,english,single
25,athletic,strictly anything,socially,never,graduated from college/university,white,75,-1,banking / financial / real estate,NA,gay,NA,agnosticism,m,aries but it doesn&rsquo;t matter,no,english,single
31,thin,mostly anything,socially,never,working on ph.d program,other,62,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes dogs,christianity but not too serious about it,f,NA,no,"english, italian, french",single
36,athletic,mostly anything,socially,NA,graduated from masters program,white,73,-1,banking / financial / real estate,doesn&rsquo;t have kids,straight,NA,NA,m,libra,no,"english, spanish, chinese",single
28,NA,NA,rarely,never,working on ph.d program,white,71,-1,science / tech / engineering,NA,straight,NA,judaism but not too serious about it,m,NA,no,"english (fluently), german (okay), hebrew (poorly)",single
44,a little extra,NA,very often,never,NA,NA,72,-1,other,NA,gay,NA,catholicism and somewhat serious about it,m,pisces but it doesn&rsquo;t matter,NA,english,single
21,average,mostly anything,not at all,never,working on college/university,white,73,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity,m,NA,no,english (fluently),single
36,fit,mostly anything,not at all,never,graduated from college/university,NA,66,-1,executive / management,NA,straight,NA,NA,m,NA,no,english,single
28,athletic,strictly anything,socially,never,graduated from college/university,white,67,-1,other,NA,straight,NA,agnosticism and laughing about it,f,virgo,no,"english (fluently), sign language (poorly)",single
24,athletic,anything,socially,never,masters program,middle eastern,70,-1,student,doesn&rsquo;t have kids,straight,NA,NA,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), arabic (fluently)",single
39,curvy,NA,socially,never,graduated from college/university,asian,62,-1,other,NA,straight,likes dogs,NA,f,gemini,no,"english, japanese (fluently)",single
26,athletic,anything,socially,NA,graduated from college/university,white,79,30000,education / academia,NA,straight,NA,NA,m,sagittarius,no,english (fluently),single
24,average,NA,socially,NA,graduated from college/university,white,76,-1,banking / financial / real estate,NA,straight,NA,judaism but not too serious about it,m,aries and it&rsquo;s fun to think about,no,"english, spanish (okay)",single
52,fit,mostly anything,socially,never,graduated from med school,white,70,-1,medicine / health,NA,straight,NA,other but not too serious about it,m,aries,no,"english, spanish",single
27,a little extra,anything,rarely,never,graduated from college/university,asian,70,-1,other,NA,straight,likes dogs,christianity,m,libra,no,"english, chinese",single
34,curvy,anything,socially,never,NA,white,67,-1,NA,has kids,straight,NA,NA,f,virgo and it&rsquo;s fun to think about,when drinking,english (fluently),single
28,fit,NA,rarely,never,graduated from masters program,white,70,-1,science / tech / engineering,NA,straight,likes dogs,judaism but not too serious about it,m,NA,no,english,single
27,average,NA,socially,never,graduated from college/university,NA,73,30000,other,NA,straight,likes dogs and has cats,agnosticism and laughing about it,m,cancer,no,english,single
35,fit,NA,NA,NA,NA,white,69,-1,other,doesn&rsquo;t have kids,straight,likes dogs,NA,f,gemini,no,"english, spanish, italian",single
39,athletic,mostly anything,socially,NA,working on masters program,hispanic / latin,69,-1,student,"doesn&rsquo;t have kids, but might want them",straight,NA,agnosticism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
26,athletic,NA,socially,never,dropped out of space camp,"black, hispanic / latin, other",73,-1,hospitality / travel,NA,straight,likes dogs and likes cats,NA,m,NA,no,"english (fluently), spanish (fluently)",single
23,athletic,NA,socially,never,working on college/university,"black, pacific islander",71,-1,student,NA,straight,NA,NA,m,taurus and it&rsquo;s fun to think about,no,english,single
23,athletic,NA,socially,never,working on college/university,hispanic / latin,68,-1,sales / marketing / biz dev,NA,straight,has dogs,catholicism and somewhat serious about it,m,virgo,NA,"english, spanish",single
